,Designer Names,Plays,Number of Plays,Tony?,Number of Tony Nominations/Wins
144,paul du pont,"['brigadoon', 'oh men oh women', 'borned in texas', 'the lady from the sea', 'parisienne', 'all you need is one good break', 'diamond lil', 'diamond lil', 'skipper next to god', 'anna lucasta', 'anna lucasta', 'pretty little parlor', 'porgy and bess', 'one touch of venus', 'porgy and bess', 'the time the place and the girl', 'let freedom sing', 'all the comforts of home', 'the strings my lord are false', 'a kiss for cinderella', 'porgy and bess', 'retreat to pleasure', 'the fifth column', 'another sun', 'johnny johnson']",25,0,0
145,william dudley,"['end of the rainbow', 'the woman in white', 'amadeus', 'cat on a hot tin roof']",4,0,0
146,lady duff gordon,"['ziegfeld follies of', 'ziegfeld follies of', 'the lady in red', 'rock a bye baby', 'miss', 'ziegfeld follies of', 'dance and grow thin', 'ziegfeld follies of', 'ziegfeld follies of']",9,0,0
147,joe dulude ii,"['beetlejuice', 'torch song', 'summer', 'spongebob squarepants', 'anastasia', 'sunday in the park with george', 'holiday inn the new irving berlin musical', 'allegiance', 'doctor zhivago', 'on the town', 'if then', 'beautiful the carole king musical', 'jekyll hyde', 'man and boy', 'follies', 'lend me a tenor', 'grease', 'the wedding singer', 'wicked']",19,0,0
148,eugene b dunkel,"['ballet theatre', 'on the town', 'the man who killed lincoln', 'naughty naught', 'the girl from wyoming', 'the bridal crown', 'the firemans flame', 'naughty naught', 'trial by jury hms pinafore', 'the gondoliers', 'the yeomen of the guard', 'the pirates of penzance', 'the mikado', 'fools rush in', 'ballet moderne']",15,0,0
149,jacques dupont,"['la grosse valise', 'phdre']",2,0,0
150,tony duquette,['camelot'],1,0,0
151,holmes easley,['the plays the thing'],1,0,0
152,ben edwards,"['a thousand clowns', 'the show off', 'a streetcar named desire', 'park your car in harvard yard', 'a few good men', 'long days journey into night', 'lillian', 'the iceman cometh', 'death of a salesman', 'medea', 'the west side waltz', 'to grandmothers house we go', 'a touch of the poet', 'an almost perfect person', 'anna christie', 'a texas trilogy the oldest living graduate', 'a texas trilogy the last meeting of the knights of the white magnolia', 'a texas trilogy lu ann hampton laverty oberlander', 'a matter of gravity', 'a moon for the misbegotten', 'finishing touches', 'look away', 'purlie', 'hay fever', 'purlie', 'the mother lover', 'the freaking out of stephanie blake', 'more stately mansions', 'hows the world treating you', 'wheres daddy', 'nathan weinstein mystic connecticut', 'the royal hunt of the sun', 'a race of hairy men', 'the family way', 'the changeling', 'hamlet', 'the ballad of the sad cafe', 'ages of man', 'harold', 'the aspern papers', 'a shot in the dark', 'purlie victorious', 'big fish little fish', 'midgie purvis', 'face of a hero', 'a second string', 'heartbreak house', 'god and kate murphy', 'ages of man', 'the disenchanted', 'a touch of the poet', 'jane eyre', 'the waltz of the toreadors', 'the dark at the top of the stairs', 'the waltz of the toreadors', 'the ponder heart', 'someone waiting', 'the honeys', 'tonight in samarkand', 'anastasia', 'the traveling lady', 'lullaby', 'the remarkable mr pennypacker', 'the emperors clothes', 'the time of the cuckoo', 'sunday breakfast', 'desire under the elms', 'the taming of the shrew', 'king richard ii', 'the royal family', 'captain brassbounds conversion', 'legend of sarah', 'the bird cage', 'diamond lil', 'medea', 'diamond lil', 'sundown beach', 'medea', 'another sun', 'diffrent', 'pygmalion', 'captain jinks of the horse marines', 'coriolanus', 'no more peace']",84,1,10
153,hilton edwards,"['juno and the paycock', 'lovers', 'the loves of cass mcguire', 'philadelphia here i come', 'the importance of being oscar', 'where stars walk', 'the old lady says no', 'john bulls other island']",8,0,0
154,sarah edwards,"['a streetcar named desire', 'tru']",2,0,0
155,lou eisele,"['my romance', 'caribbean carnival', 'icetime of', 'a young mans fancy', 'icetime', 'the girl from nantucket', 'too hot for maneuvers', 'star spangled family', 'a lady says yes', 'follow the girls']",10,0,0
156,eldon elder,"['hizzoner', 'music is', 'will rogers usa', 'the megilla of itzik manger', 'of love remembered', 'mating dance', 'rugantino', 'the fun couple', 'the affair', 'shinbone alley', 'fallen angels', 'the heavenly twins', 'the young and beautiful', 'phoenix', 'all in one', 'one eye closed', 'the girl in pink tights', 'take a giant step', 'the grey eyed people', 'time out for ginger', 'hook n ladder', 'venus observed', 'legend of lovers', 'idiots delight', 'dream girl', 'the long days', 'second threshold']",27,0,0
157,marianna elliott,"['qed', 'play on']",2,0,0
158,dave elsey,['side show'],1,0,0
159,charles elson,"['mirele efros', 'photo finish', 'the perfect setup', 'wildcat', 'first impressions', 'la plume de ma tante', 'maria golovin', 'blue denim', 'compulsion', 'the lovers', 'champagne complex', 'quadrille', 'his and hers', 'the deep blue sea', 'collectors item', 'nina', 'music in the air', 'borscht capades', 'the rose tattoo', 'out of this world', 'regina', 'private lives', 'the cup of trembling', 'kathleen', 'power without glory', 'the first mrs fraser', 'duet for two hands', 'how i wonder', 'the eagle has two heads', 'years ago', 'hidden horizon', 'on whitman avenue', 'born yesterday', 'pygmalion', 'as you like it']",35,0,0
160,julian eltinge,"['cousin lucy', 'the crinoline girl', 'the fascinating widow', 'cohan and harris minstrels', 'mr wix of wickham']",5,0,0
161,terence emery,['pygmalion'],1,0,0
162,david emmons,['banjo dancing'],1,0,0
163,johan engels,['electra'],1,0,0
164,mitchell erickson,"['judgment at nuremberg', 'the sunshine boys', 'the gin game', 'a little hotel on the side', 'lettice and lovage', 'the circle', 'ah wilderness', 'long days journey into night', 'rowan atkinson at the atkinson', 'the iceman cometh', 'pack of lies', 'ian mckellen acting shakespeare', 'you cant take it with you', 'ghosts', 'medea', 'charlotte', 'a touch of the poet', 'the innocents', 'the constant wife', 'private lives', 'jumpers', 'tricks', 'vivat vivat regina', 'the philanthropist', 'a place without doors', 'childs play', 'play it again sam', 'how now dow jones', 'rosencrantz and guildenstern are dead', 'the astrakhan coat', 'dont drink the water', 'the loves of cass mcguire', 'philadelphia here i come', 'cactus flower', 'inadmissible evidence', 'hello dolly', 'arturo ui', 'luther', 'the lady of the camellias', 'natural affection', 'the affair', 'the best man', 'protective custody']",43,0,0
165,ert,"['andr hellers wonderhouse', 'la plume de ma tante', 'george whites scandals', 'a night in venice', 'george whites scandals', 'a night in paris', 'george whites scandals', 'a night in paris', 'artists and models', 'george whites scandals', 'george whites scandals', 'topics of', 'ziegfeld follies of', 'george whites scandals', 'the passing show of', 'the greenwich village follies', 'george whites scandals']",17,0,0
166,joe eula,"['street corner symphony', 'aznavour', 'got tu go disco', 'private lives']",4,0,0
167,john falabella,"['tango pasion', 'an evening with harry connick jr and his orchestra', 'barbara cook a concert for the theatre', 'safe sex', 'home front', 'the guys in the truck', 'the caine mutiny court martial', 'the man who had three arms', 'blues in the night', 'perfectly frank', 'happy new year', 'the lady from dubuque']",12,0,0
168,ashley farra,[],0,0,0
169,abdel farrah,['emperor henry iv'],1,0,0
170,jacques fath,"['occupe toi damelie', 'les fausses confidences  baptiste']",2,0,0
171,feder,"['carmelina', 'doctor jazz', 'goodtime charley', 'scratch', 'on a clear day you can see forever', 'the three sisters', 'blues for mister charlie', 'once for the asking', 'tiger tiger burning bright', 'camelot', 'greenwillow', 'a loss of roses', 'the cold wind and the warm', 'goldilocks', 'time remembered', 'orpheus descending', 'a visit to a small planet', 'a clearing in the woods', 'my fair lady', 'the young and beautiful', 'the skin of our teeth', 'seventh heaven', 'inherit the wind', 'the wisteria trees', 'the flowering peach', 'what every woman knows', 'the boy friend', 'the immoralist', 'a pin to see the peepshow', 'three wishes for jamie', 'the gioconda smile', 'winged victory', 'magic  hello out there', 'the walking gentleman', 'autumn hill', 'angel street', 'johnny belinda', 'hold on to your hats', 'a passenger to bali', 'sing for your supper', 'androcles and the lion', 'here come the clowns', 'the big blow', 'prologue to glory', 'diffrent', 'pygmalion', 'captain jinks of the horse marines', 'no more peace', 'coriolanus', 'native ground', 'dr faustus', 'horse eats hat', 'macbeth', 'calling all stars', 'four saints in three acts']",55,0,0
172,bran ferren,"['macbeth', 'sunday in the park with george', 'rock n roll the first', 'frankenstein', 'the crucifer of blood']",5,0,0
173,pablo ferro,['oh dad poor dad mammas hung you in the closet and im feelin so sad'],1,0,0
174,david ffolkes,"['men of distinction', 'seventeen', 'flahooley', 'springtime for henry', 'wheres charley', 'brigadoon', 'the browning version  harlequinade', 'along fifth avenue', 'wheres charley', 'sleepy hollow', 'man and superman', 'brigadoon', 'what every woman knows', 'king henry viii', 'king richard ii', 'hamlet', 'king henry iv part i', 'hamlet', 'young mr disraeli', 'king richard ii', 'king richard ii']",21,1,1
175,arden fingerhut,"['salome', 'chinese coffee', 'hay fever', 'alone together', 'the golden age', 'teaneck tanzi the venus flytrap', 'slab boys', 'plenty', 'einstein and the polar bear', 'the father', 'hide and seek', 'bent', 'taxi tales', 'da', 'short eyes', 'lorelei']",16,0,0
176,imero fiorentino,['the night that made america famous'],1,0,0
177,jules fisher,"['gary a sequel to titus andronicus', 'the iceman cometh', 'once on this island', 'shuffle along or the making of the musical sensation of', 'the gin game', 'side show', 'lucky guy', 'a free man of color', '', 'the ritz', 'chita rivera the dancers life', 'laugh whore', 'caroline or change', 'assassins', 'gypsy', 'amour', 'elaine stritch at liberty', 'jane eyre', 'the wild party', 'marie christine', 'ragtime', 'street corner symphony', 'bring in da noise bring in da funk', 'victor  victoria', 'chronicle of a death foretold', 'the best little whorehouse goes public', 'twilight los angeles', 'angels in america perestroika', 'angels in america millennium approaches', 'the boys choir of harlem and friends', 'tommy tune tonite', 'my favorite year', 'jellys last jam', 'death and the maiden', 'two shakespearean actors', 'nick nora', 'catskills on broadway', 'the will rogers follies', 'grand hotel', 'dangerous games', 'legs diamond', 'canciones de mi padre', 'rags', 'big deal', 'song and dance', 'the rink', 'la cage aux folles', 'rock n roll the first', 'the queen and the rebels', 'frankenstein', 'dancin', 'golda', 'hair', 'beatlemania', 'american buffalo', 'rockabye hamlet', 'chicago', 'man on the moon', 'thieves', 'ulysses in nighttown', 'liza', 'the iceman cometh', 'rachael lily rosenbloom and dont you ever forget it', 'full circle', 'molly', 'uncle vanya', 'seesaw', 'mourning becomes electra', 'lysistrata', 'pippin', 'fun city', 'jesus christ superstar', 'youre a good man charlie brown', 'lenny', 'no no nanette', 'soon', 'home', 'the engagement baby', 'inquest', 'minnies boys', 'gantry', 'sheep on the runway', 'butterflies are free', 'trumpets of the lord', 'the watering place', 'but seriously', 'canterbury tales', 'the man in the glass booth', 'the cuban thing', 'the only game in town', 'hair', 'heres where i belong', 'the grand music hall of israel', 'before you go', 'the trial of lee harvey oswald', 'a minor adjustment', 'the unknown soldier and his wife', 'little murders', 'you know i cant hear you when the waters running', 'the natural look', 'black comedy  white lies', 'hail scrawdyke', 'threepenny opera', 'a hand is on the gate', 'the office', 'the yearling', 'the devils', 'pickwick', 'and things that go bump in the night', 'half a sixpence', 'do i hear a waltz', 'ps i love you', 'the sign in sidney brusteins window', 'a girl could get lucky', 'the subject was roses', 'the white house', 'high spirits', 'anyone can whistle', 'spoon river anthology']",119,0,0
178,robert fletcher,"['doubles', 'the flying karamazov brothers', 'seven brides for seven brothers', 'othello', 'a life', 'johnny johnson', 'cry for us all', 'borstal boy', 'hadrian vii', 'walking happy', 'high spirits', 'foxy', 'the moon besieged', 'little me', 'nowhere to go but up', 'a family affair', 'how to succeed in business without really trying', 'the happiest girl in the world', 'farewell farewell eugene', 'the firstborn', 'saint joan', 'king lear', 'misalliance', 'the merchant of venice', 'loves labours lost', 'the little blue light', 'the relapse', 'dream girl', 'embezzled heaven']",29,0,0
179,lynn fontanne,"['the visit', 'the great sebastians', 'quadrille', 'i know my love', 'o mistress mine', 'the pirate', 'there shall be no night', 'there shall be no night', 'the seagull', 'amphitryon', 'idiots delight', 'the taming of the shrew', 'point valaine', 'design for living', 'reunion in vienna', 'elizabeth the queen', 'meteor', 'caprice', 'strange interlude', 'the second man', 'the brothers karamazov', 'pygmalion', 'at mrs beams', 'the goat song', 'arms and the man', 'the guardsman', 'in love with love', 'sweet nell of old drury', 'dulcy', 'some one in the house', 'laurette taylor in scenes from shakespeare', 'happiness', 'the wooing of eve', 'out there', 'out there', 'the harp of life', 'mr preedy and the countess']",37,0,0
180,donald foote,"['billy', 'king lear', 'the devils', 'baker street', 'ben franklin in paris', 'the subject was roses']",6,0,0
181,joseph foster,"['lalla rookh', 'the twelve temptations', 'the enchantress', 'the naiad queen']",4,0,0
182,frederick fox,"['la grosse valise', 'from the second city', 'mandingo', 'julia jake and uncle joe', 'send me no flowers', 'the hostage', 'a mighty man is he', 'the warm peninsula', 'golden fleecing', 'howie', 'fair game', 'the greatest man alive', 'speaking of murder', 'the wayward saint', 'lunatics and lovers', 'reclining figure', 'anniversary waltz', 'king of hearts', 'room service', 'the seven year itch', 'the climate of eden', 'never say never', 'angels kiss me', 'darkness at noon', 'southern exposure', 'they knew what they wanted', 'light up the sky', 'make mine manhattan', 'anna lucasta', 'john loves mary', 'mr peebles and mr hooker', 'little brown jug', 'marriage is for single people', 'the secret room', 'the wind is ninety', 'kiss them for me', 'calico wedding', 'alice in arms', 'a goose for the gander', 'good night ladies', 'dear ruth', 'the man who had all the luck', 'the odds on mrs oakley', 'the day will come', 'anna lucasta', 'career angel', 'hickory stick', 'only the heart', 'decision', 'ramshackle inn', 'lady behave', 'the naked genius', 'land of fame', 'the snark was a boojum', 'the two mrs carrolls', 'those endearing young charms', 'men in shadow', 'the doughgirls', 'yankee point', 'wine women and song', 'johnny on a spot', 'junior miss', 'good neighbor', 'all men are alike', 'snookie', 'brooklyn biarritz', 'blind alley', 'johnny belinda', 'the strangler fig', 'the man from cairo', 'theres always a breeze', 'the bat', 'orchids preferred', 'farewell summer']",74,0,0
183,sylvia friedlander,"['light lively and yiddish', 'bathsheba', 'burlesque']",3,0,0
184,roger k furse,"['pickwick', 'duel of angels', 'the tumbler', 'venus observed', 'antony and cleopatra', 'caesar and cleopatra', 'daphne laureola', 'king henry iv part ii', 'king henry iv part i', 'spring meeting']",10,0,0
185,paul gallo,"['three tall women', 'wonderland', 'pal joey', 'november', 'a bronx tale', 'mauritius', 'losing louie', 'the caine mutiny court martial', 'three days of rain', 'never gonna dance', 'man of la mancha', 'the crucible', '', '', 'the rocky horror show', 'the man who came to dinner', 'epic proportions', 'the civil war', 'on the town', 'the sound of music', 'triumph of love', 'titanic', 'skylight', 'big', 'a funny thing happened on the way to the forum', 'the tempest', 'face value', 'guys and dolls', 'crazy for you', 'i hate hamlet', 'six degrees of separation', 'city of angels', 'lend me a tenor', 'spoils of war', 'anything goes', 'the comedy of errors', 'smile', 'the front page', 'the house of blue leaves', 'the mystery of edwin drood', 'heartbreak house', 'beyond therapy', 'come back to the', 'kingdoms', 'grown ups', 'candida', 'the little foxes', 'john gabriel borkman', 'tintypes', 'passione']",50,0,0
186,theodor seuss geisel,"['dr seuss how the grinch stole christmas', 'dr seuss how the grinch stole christmas', 'seussical', 'the illustrators show']",4,0,0
187,hal george,"['zorba', 'hamlet', 'trelawny of the wells', 'the creation of the world and other business', 'mike downstairs', 'we comrades three', 'the school for scandal']",7,0,0
188,zvi geyra,"['the long dream', 'edwin booth']",2,0,0
189,melville gideon,"['the optimists', 'as you were', 'vera violetta', 'up and down broadway', 'the girl and the wizard', 'the florist shop', 'the boys and betty', 'ziegfeld follies of']",8,0,0
190,edythe gilfond,"['the fifth season', 'martha graham', 'martha graham']",3,0,0
191,bob gill,"['mastergate', 'alice in wonderland', 'rock n roll the first', 'beatlemania']",4,0,0
192,leon gischia,"['le cid', 'don juan', 'marie tudor', 'le triomphe de lamour', 'lorenzaccio']",5,0,0
193,john gleason,"['the guys in the truck', 'an evening with dave allen', 'the survivor', 'macbeth', 'the philadelphia story', 'platinum', 'angel', 'herzl', 'let my people come', 'an evening with diana ross', 'my fair lady', 'the royal family', 'hello dolly', 'truckload', 'dont call back', 'all over town', 'whos who in hell', 'my sister my sister', 'over here', 'lorelei', 'the pajama game', 'veronicas room', 'a streetcar named desire', 'a streetcar named desire', 'the women', 'the plough and the stars', 'enemies', 'tough to get help', 'twelfth night', 'the love suicide at schofield barracks', 'narrow road to the deep north', 'mary stuart', 'antigone', 'frank merriwell', 'an enemy of the people', 'the playboy of the western world', 'two by two', 'the good woman of setzuan', 'othello', 'beggar on horseback', 'candida', 'operation sidewinder', 'brightower', 'the national theater of the deaf', 'camino real', 'the time of your life', 'in the matter of j robert oppenheimer', 'the miser', 'hamlet', 'cop out', 'in the matter of j robert oppenheimer', 'a cry of players', 'king lear', 'we bombed in new haven', 'the great white hope', 'lovers and other strangers', 'cyrano de bergerac', 'tiger at the gates', 'saint joan', 'dr cooks garden', 'the alchemist', 'la grosse valise', 'tartuffe']",63,0,0
194,philip goatcher,"['bellman', 'the main line or rawsons y']",2,0,0
195,peter goffin,"['ruddigore', 'the mikado', 'the yeomen of the guard', 'the yeomen of the guard']",4,0,0
196,golding studios,['suzette'],1,0,0
197,eleanore goldsmith,"['music in the air', 'texas lil darlin', 'the father', 'the biggest thief in town', 'jenny kissed me', 'the young and fair', 'inside usa', 'finians rainbow', 'lovely me', 'mr peebles and mr hooker']",10,0,0
198,ruby ross goodnow,['the love habit'],1,0,0
199,michael gordon,"['the family way', 'the lovers', 'deadfall', 'champagne complex', 'the tender trap', 'the magic and the loss', 'his and hers', 'maggie', 'see the jaguar', 'the male animal', 'the male animal', 'one bright day', 'anna christie', 'home of the brave', 'sophie', 'storm operation', 'night music', 'thunder rock', 'the gentle people', 'rocket to the moon', 'golden boy', 'johnny johnson']",22,0,0
200,mordecai gorelik,"['a distant bell', 'the sin of pat muldoon', 'troilus and cressida', 'macbeth', 'romeo and juliet', 'king richard ii', 'a hatful of rain', 'the flowering peach', 'desire under the elms', 'all my sons', 'night music', 'thunder rock', 'rocket to the moon', 'casey jones', 'tortilla flat', 'golden boy', 'mother', 'the young go first', 'sailors of cattaro', 'gentlewoman', 'all good americans', 'men in white', 'little ol boy', 'big night', 'success story']",25,0,0
201,edward gorey,"['gorey stories', 'dracula']",2,1,1
202,martha graham,"['primitive mysteries', 'martha graham and company', 'martha graham and dance company', 'martha graham', 'martha graham and her dance company', 'martha graham and company', 'martha graham', 'martha graham', 'martha graham', 'martha graham', 'martha graham and company', 'martha graham and company', 'a dolls house', 'romeo and juliet', 'panic', 'romeo and juliet', 'valley forge', 'la nativite', 'radio city music hall inaugural program', 'the greenwich village follies']",20,0,0
203,mary grant,"['big fish little fish', 'woman bites dog', 'polonaise', 'marinka', 'seven lively arts', 'mexican hayride', 'carmen jones', 'ziegfeld follies of', 'the cat screams', 'sons o fun', 'two for the show']",11,0,0
204,jane greenwood,"['all my sons', 'saint joan', 'the parisian woman', 'the little foxes', 'long days journey into night', 'bright star', 'thrse raquin', 'you cant take it with you', 'love letters', 'act one', 'the snow geese', 'the assembled parties', 'harvey', 'the house of blue leaves', 'that championship season', 'driving miss daisy', 'collected stories', 'million dollar quartet', 'a view from the bridge', 'present laughter', 'brighton beach memoirs', 'waiting for godot', 'accent on youth', 'thurgood', 'cat on a hot tin roof', 'prelude to a kiss', 'heartbreak house', 'absurd person singular', 'lennon', 'on golden pond', 'whos afraid of virginia woolf', 'oldest living confederate widow tells all', 'the caretaker', 'the violet hour', 'cat on a hot tin roof', 'the retreat from moscow', 'salome', 'tartuffe', 'mornings at seven', 'fortunes fool', 'bea arthur on broadway', 'major barbara', 'the dinner party', 'a moon for the misbegotten', 'james joyces the dead', 'high society', 'honour', 'the deep blue sea', 'the scarlet pimpernel', 'proposals', 'the little foxes', 'an american daughter', 'the last night of ballyhoo', 'once upon a mattress', 'a delicate balance', 'master class', 'a month in the country', 'the heiress', 'passion', 'no mans land', 'abe lincoln in illinois', 'she loves me', 'the sisters rosensweig', 'the price', 'a streetcar named desire', 'two shakespearean actors', 'park your car in harvard yard', 'i hate hamlet', 'the big love', 'the tenth man', 'the circle', 'the secret rapture', 'our town', 'ah wilderness', 'long days journey into night', 'so long on lonely street', 'lillian', 'the iceman cometh', 'alone together', 'the golden age', 'heartbreak house', 'plenty', 'the queen and the rebels', 'medea', 'duet for one', 'the west side waltz', 'the supporting cast', 'to grandmothers house we go', 'romantic comedy', 'knockout', 'faith healer', 'the kingfisher', 'cheaters', 'a touch of the poet', 'an almost perfect person', 'the night of the tribades', 'vieux carr', 'anna christie', 'caesar and cleopatra', 'otherwise engaged', 'a texas trilogy the oldest living graduate', 'a texas trilogy the last meeting of the knights of the white magnolia', 'a texas trilogy lu ann hampton laverty oberlander', 'california suite', 'whos afraid of virginia woolf', 'a matter of gravity', 'the constant wife', 'same time next year', 'cat on a hot tin roof', 'a moon for the misbegotten', 'finishing touches', 'look away', 'thats entertainment', 'wise child', 'antigone', '', 'les blancs', 'hay fever', 'gandhi', 'othello', 'sheep on the runway', 'angela', 'the penny wars', 'the wrong way light bulb', 'the mother lover', 'im solomon', 'the seven descents of myrtle', 'the prime of miss jean brodie', 'more stately mansions', 'hows the world treating you', 'the killing of sister george', 'wheres daddy', 'nathan weinstein mystic connecticut', 'a race of hairy men', 'half a sixpence', 'tartuffe', 'incident at vichy', 'hamlet', 'the ballad of the sad cafe']",139,0,0
205,hayden griffin,"['players', 'rockefeller and the red indians']",2,0,0
206,sydney guilaroff,['the act'],1,0,0
207,robert gundlach,['the happy journey to trenton and camden and the respectful prostitute'],1,0,0
208,michel gyarmathy,['folies bergre'],1,0,0
209,morton haack,"['hazel flagg', 'make mine manhattan', 'strange bedfellows']",3,0,0
210,mitzi hajos,"['cafe crown', 'mr big', 'you cant take it with you', 'sari', 'the madcap', 'naughty riquette', 'the magic ring', 'lady billy', 'head over heels', 'pom pom', 'sari', 'her little highness', 'la belle paree', 'la belle paree  bow sing  tortajada']",14,0,0
211,jack haley jr,['minnelli on minnelli'],1,0,0
212,peter j hall,"['zoot suit', 'the milk train doesnt stop here anymore', 'romeo and juliet']",3,0,0
213,halston,['the act'],1,0,0
214,terry hands,"['les liaisons dangereuses', 'les misrables', 'macbeth', 'two shakespearean actors', 'some americans abroad', 'carrie', 'les liaisons dangereuses', 'les misrables', 'the life and adventures of nicholas nickleby', 'cyrano de bergerac', 'much ado about nothing', 'alls well that ends well', 'good', 'the life and adventures of nicholas nickleby', 'piaf']",15,0,0
215,hugh hardy,"['the best man', 'there was a little girl', 'silent night lonely night', 'sweet bird of youth']",4,0,0
216,bill hargate,"['doug henning his world of magic', 'oklahoma', 'peter pan', 'skyscraper', 'barefoot in the park', 'a distant bell']",6,0,0
217,joseph harker,"['mecca', 'aphrodite', 'chu chin chow', 'to nights the night', 'hop o my thumb', 'the little michus', 'caesar and cleopatra', 'veronique', 'the light that failed', 'the messenger boy', 'a greek slave']",11,0,0
218,irene hawthorne,"['autobiography', 'sing out sweet land']",2,0,0
219,edith head,"['edwin booth', 'the pleasure of his company']",2,0,0
220,desmond heeley,"['the importance of being earnest', 'the circle', 'camelot', 'camelot', 'teibele and her demon', 'cyrano', 'rosencrantz and guildenstern are dead', 'twelfth night']",8,1,1
221,j roy helland,"['breakfast at tiffanys', 'the tale of the allergists wife', 'damn yankees', 'jerome robbins broadway', 'born yesterday', 'wild honey', 'broadway bound', 'the house of blue leaves', 'social security', 'wind in the willows', 'hurlyburly', 'sunday in the park with george', 'the rink', 'the real thing', 'the pirates of penzance', 'the suicide', 'i remember mama', 'strangers', 'runaways', 'the water engine  mr happiness', 'golda', 'anna christie', 'the cherry orchard', 'threepenny opera', 'streamers', 'the heiress', 'mrs warrens profession', 'they knew what they wanted', 'a memory of two mondays', 'trelawny of the wells', 'a dolls house']",31,0,0
222,andr heller,['andr hellers wonderhouse'],1,0,0
223,lindy hemming,['alls well that ends well'],1,0,0
224,gilbert v hemsley jr,"['porgy and bess', 'comin uptown', 'the most happy fella', 'sugar babies', 'monteith rand', 'the mighty gents', 'i love my wife', 'your arms too short to box with god', 'porgy and bess', 'nureyev and friends', 'jumpers', 'cyrano', 'murderous angels', 'war and peace', 'you cant take it with you', 'the wild duck', 'we comrades three', 'right you are if you think you are', 'the school for scandal']",19,0,0
225,jocelyn herbert,"['', 'the merchant', 'home', 'hamlet', 'inadmissible evidence', 'chips with everything', 'luther']",7,0,0
226,david hersey,"['equus', 'les misrables', 'oklahoma', 'miss saigon', 'chess', 'starlight express', 'les misrables', 'the life and adventures of nicholas nickleby', 'cats', 'merrily we roll along', 'the life and adventures of nicholas nickleby', 'evita']",12,0,0
227,al hirschfeld,"['jackie mason politically incorrect', 'jackie masons the world according to me', 'jackie masons the world according to me', 'passionate ladies', 'at the drop of a hat']",5,0,0
228,geoffrey holder,"['the boys choir of harlem and friends', 'the wiz', 'timbuktu', 'the wiz', 'josephine baker', 'josephine baker', 'waiting for godot', 'house of flowers']",8,0,0
229,klaus holm,"['spofford', 'love in e flat', 'wait a minim', 'the devils', 'oh what a lovely war', 'a case of libel', 'the private ear and the public eye', 'the heroine', 'moby dick', 'something about a soldier', 'donnybrook', 'a far country', 'once there was a russian', 'advise and consent', 'semi detached', 'the highest tree', 'a majority of one', 'redhead', 'the power and the glory', 'the marriage go round', 'the pleasure of his company', 'four winds', 'livin the life', 'the good woman of setzuan', 'diary of a scoundrel', 'the sleeping prince', 'major barbara', 'saint joan', 'the littlest revue', 'a month in the country', 'the ponder heart', 'six characters in search of an author', 'janus', 'the carefree tree', 'phoenix', 'damn yankees', 'portrait of a lady', 'wedding breakfast', 'the golden apple', 'the girl on the via flaminia', 'the prescott proposals', 'sabrina fair']",42,0,0
230,harry horner,"['how to make a man', 'hazel flagg', 'tovarich', 'joy to the world', 'me and molly', 'christopher blake', 'winged victory', 'lady in the dark', 'star and garter', 'the walking gentleman', 'a kiss for cinderella', 'heart of a city', 'lily of the valley', 'in time to come', 'banjo eyes', 'lets face it', 'five alarm waltz', 'lady in the dark', 'the weak link', 'the burning deck', 'reunion in new york', 'the world we make', 'family portrait', 'jeremiah', 'gloriana', 'escape this night', 'all the living', 'the eternal road', 'iron men']",29,0,0
231,richard hornung,"['the news', 'brighton beach memoirs', 'candida']",3,0,0
232,norris houghton,"['beyond therapy', 'boy meets girl', 'secret service', 'they knew what they wanted', 'a memory of two mondays', 'murderous angels', 'the trial of the catonsville nine', 'the school for wives', 'you cant take it with you', 'oh dad poor dad mammas hung you in the closet and im feelin so sad', 'the great god brown', 'once upon a mattress', 'the family reunion', 'an evening of', 'le malade imaginaire', 'the broken jug', 'two gentlemen of verona', 'transposed heads', 'the infernal machine', 'the chairs and the lesson', 'makropoulos secret', 'mary stuart', 'livin the life', 'the duchess of malfi', 'the taming of the shrew', 'measure for measure', 'the good woman of setzuan', 'diary of a scoundrel', 'the sleeping prince', 'saint joan', 'the littlest revue', 'a month in the country', 'six characters in search of an author', 'the terrible swift sword', 'the carefree tree', 'phoenix', 'sandhog', 'the golden apple', 'billy budd', 'clutterbuck', 'macbeth', 'good hunting', 'waltz in goose step', 'dame nature', 'whiteoaks', 'how to get tough about it', 'stop over', 'in clover']",48,0,0
233,ann hould ward,"['the color purple', 'the visit', 'the people in the picture', 'a free man of color', 'a catered affair', 'company', 'dance of the vampires', 'little me', 'more to love', 'dream', 'on the waterfront', 'the molire comedies', 'beauty and the beast', 'timon of athens', 'in the summer house', 'three men on a horse', 'saint joan', 'falsettos', 'into the woods', 'harrigan n hart', 'sunday in the park with george']",21,0,0
234,grace houston,"['the wisteria trees', 'the time of your life', 'the fourposter', 'what every woman knows', 'the golden state', 'the consul', 'up in central park', 'burlesque', 'call me mister', 'live life again', 'up in central park', 'violet', 'men to the sea', 'hats off to ice', 'whats up', 'land of fame', 'the two mrs carrolls', 'something for the boys']",18,0,0
235,raymond huessy,"['equus', 'miss saigon', 'cats', 'dreamgirls', 'the life and adventures of nicholas nickleby']",5,0,0
236,mick hughes,"['by jeeves', 'wonderful tennessee']",2,0,0
237,victor hugo,"['les misrables', 'les misrables', 'les misrables', 'marie tudor', 'clair de lune', 'the law and the man', 'notre dame']",7,0,0
